Month,Activity,Modality,Entity,Woreda,FDP_ID,FDP/Site Name,Checklist Type,Required Count,Latitude,Longitude,GPS,Achieved,Gap,Completion %,Status,Visited Status
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-007,Awbare FDP 07,Beneficiary Contact Monitoring,6,9.306439,42.73367,"9.306439, 42.73367",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-007,Awbare FDP 07,Food Basket Monitoring,6,9.306439,42.73367,"9.306439, 42.73367",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-007,Awbare FDP 07,Warehouse Monitoring,1,9.306439,42.73367,"9.306439, 42.73367",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-007,Awbare FDP 07,Distribution Observation,1,9.306439,42.73367,"9.306439, 42.73367",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-007,Awbare FDP 07,Partner Performance Monitoring,1,9.306439,42.73367,"9.306439, 42.73367",0,1,0.0,Not Visited / Not Submitted,Not Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-008,Awbare FDP 08,Beneficiary Contact Monitoring,6,9.279627,42.793514,"9.279627, 42.793514",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-008,Awbare FDP 08,Food Basket Monitoring,6,9.279627,42.793514,"9.279627, 42.793514",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-008,Awbare FDP 08,Warehouse Monitoring,1,9.279627,42.793514,"9.279627, 42.793514",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-008,Awbare FDP 08,Distribution Observation,1,9.279627,42.793514,"9.279627, 42.793514",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-008,Awbare FDP 08,Partner Performance Monitoring,1,9.279627,42.793514,"9.279627, 42.793514",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-009,Awbare FDP 09,Beneficiary Contact Monitoring,6,9.347569,42.86622,"9.347569, 42.86622",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-009,Awbare FDP 09,Food Basket Monitoring,6,9.347569,42.86622,"9.347569, 42.86622",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-009,Awbare FDP 09,Warehouse Monitoring,1,9.347569,42.86622,"9.347569, 42.86622",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-009,Awbare FDP 09,Distribution Observation,1,9.347569,42.86622,"9.347569, 42.86622",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-009,Awbare FDP 09,Partner Performance Monitoring,1,9.347569,42.86622,"9.347569, 42.86622",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-010,Awbare FDP 10,Beneficiary Contact Monitoring,6,9.407811,42.80235,"9.407811, 42.80235",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-010,Awbare FDP 10,Food Basket Monitoring,6,9.407811,42.80235,"9.407811, 42.80235",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-010,Awbare FDP 10,Warehouse Monitoring,1,9.407811,42.80235,"9.407811, 42.80235",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-010,Awbare FDP 10,Distribution Observation,1,9.407811,42.80235,"9.407811, 42.80235",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-010,Awbare FDP 10,Partner Performance Monitoring,1,9.407811,42.80235,"9.407811, 42.80235",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-011,Awbare FDP 11,Beneficiary Contact Monitoring,6,9.340724,42.604566,"9.340724, 42.604566",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-011,Awbare FDP 11,Food Basket Monitoring,6,9.340724,42.604566,"9.340724, 42.604566",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-011,Awbare FDP 11,Warehouse Monitoring,1,9.340724,42.604566,"9.340724, 42.604566",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-011,Awbare FDP 11,Distribution Observation,1,9.340724,42.604566,"9.340724, 42.604566",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-011,Awbare FDP 11,Partner Performance Monitoring,1,9.340724,42.604566,"9.340724, 42.604566",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-012,Awbare FDP 12,Beneficiary Contact Monitoring,6,9.411607,42.853303,"9.411607, 42.853303",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-012,Awbare FDP 12,Food Basket Monitoring,6,9.411607,42.853303,"9.411607, 42.853303",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-012,Awbare FDP 12,Warehouse Monitoring,1,9.411607,42.853303,"9.411607, 42.853303",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-012,Awbare FDP 12,Distribution Observation,1,9.411607,42.853303,"9.411607, 42.853303",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-012,Awbare FDP 12,Partner Performance Monitoring,1,9.411607,42.853303,"9.411607, 42.853303",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-013,Awbare FDP 13,Beneficiary Contact Monitoring,6,9.336616,42.772848,"9.336616, 42.772848",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-013,Awbare FDP 13,Food Basket Monitoring,6,9.336616,42.772848,"9.336616, 42.772848",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-013,Awbare FDP 13,Warehouse Monitoring,1,9.336616,42.772848,"9.336616, 42.772848",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-013,Awbare FDP 13,Distribution Observation,1,9.336616,42.772848,"9.336616, 42.772848",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-013,Awbare FDP 13,Partner Performance Monitoring,1,9.336616,42.772848,"9.336616, 42.772848",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-014,Awbare FDP 14,Beneficiary Contact Monitoring,6,9.344004,42.86559,"9.344004, 42.86559",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-014,Awbare FDP 14,Food Basket Monitoring,6,9.344004,42.86559,"9.344004, 42.86559",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-014,Awbare FDP 14,Warehouse Monitoring,1,9.344004,42.86559,"9.344004, 42.86559",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-014,Awbare FDP 14,Distribution Observation,1,9.344004,42.86559,"9.344004, 42.86559",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-014,Awbare FDP 14,Partner Performance Monitoring,1,9.344004,42.86559,"9.344004, 42.86559",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-015,Awbare FDP 15,Beneficiary Contact Monitoring,6,9.357083,42.666318,"9.357083, 42.666318",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-015,Awbare FDP 15,Food Basket Monitoring,6,9.357083,42.666318,"9.357083, 42.666318",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-015,Awbare FDP 15,Warehouse Monitoring,1,9.357083,42.666318,"9.357083, 42.666318",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-015,Awbare FDP 15,Distribution Observation,1,9.357083,42.666318,"9.357083, 42.666318",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-015,Awbare FDP 15,Partner Performance Monitoring,1,9.357083,42.666318,"9.357083, 42.666318",0,1,0.0,Not Visited / Not Submitted,Not Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-016,Awbare FDP 16,Beneficiary Contact Monitoring,6,9.301298,42.719248,"9.301298, 42.719248",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-016,Awbare FDP 16,Food Basket Monitoring,6,9.301298,42.719248,"9.301298, 42.719248",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-016,Awbare FDP 16,Warehouse Monitoring,1,9.301298,42.719248,"9.301298, 42.719248",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-016,Awbare FDP 16,Distribution Observation,1,9.301298,42.719248,"9.301298, 42.719248",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-016,Awbare FDP 16,Partner Performance Monitoring,1,9.301298,42.719248,"9.301298, 42.719248",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-017,Awbare FDP 17,Beneficiary Contact Monitoring,6,9.401308,42.893291,"9.401308, 42.893291",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-017,Awbare FDP 17,Food Basket Monitoring,6,9.401308,42.893291,"9.401308, 42.893291",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-017,Awbare FDP 17,Warehouse Monitoring,1,9.401308,42.893291,"9.401308, 42.893291",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-017,Awbare FDP 17,Distribution Observation,1,9.401308,42.893291,"9.401308, 42.893291",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-017,Awbare FDP 17,Partner Performance Monitoring,1,9.401308,42.893291,"9.401308, 42.893291",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-018,Awbare FDP 18,Beneficiary Contact Monitoring,6,9.298578,42.691286,"9.298578, 42.691286",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-018,Awbare FDP 18,Food Basket Monitoring,6,9.298578,42.691286,"9.298578, 42.691286",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-018,Awbare FDP 18,Warehouse Monitoring,1,9.298578,42.691286,"9.298578, 42.691286",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-018,Awbare FDP 18,Distribution Observation,1,9.298578,42.691286,"9.298578, 42.691286",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-018,Awbare FDP 18,Partner Performance Monitoring,1,9.298578,42.691286,"9.298578, 42.691286",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-019,Awbare FDP 19,Beneficiary Contact Monitoring,6,9.378989,42.694689,"9.378989, 42.694689",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-019,Awbare FDP 19,Food Basket Monitoring,6,9.378989,42.694689,"9.378989, 42.694689",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-019,Awbare FDP 19,Warehouse Monitoring,1,9.378989,42.694689,"9.378989, 42.694689",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-019,Awbare FDP 19,Distribution Observation,1,9.378989,42.694689,"9.378989, 42.694689",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-019,Awbare FDP 19,Partner Performance Monitoring,1,9.378989,42.694689,"9.378989, 42.694689",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-020,Awbare FDP 20,Beneficiary Contact Monitoring,6,9.368129,42.717491,"9.368129, 42.717491",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-020,Awbare FDP 20,Food Basket Monitoring,6,9.368129,42.717491,"9.368129, 42.717491",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-020,Awbare FDP 20,Warehouse Monitoring,1,9.368129,42.717491,"9.368129, 42.717491",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-020,Awbare FDP 20,Distribution Observation,1,9.368129,42.717491,"9.368129, 42.717491",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-020,Awbare FDP 20,Partner Performance Monitoring,1,9.368129,42.717491,"9.368129, 42.717491",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-021,Awbare FDP 21,Beneficiary Contact Monitoring,6,9.331383,42.797653,"9.331383, 42.797653",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-021,Awbare FDP 21,Food Basket Monitoring,6,9.331383,42.797653,"9.331383, 42.797653",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-021,Awbare FDP 21,Warehouse Monitoring,1,9.331383,42.797653,"9.331383, 42.797653",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-021,Awbare FDP 21,Distribution Observation,1,9.331383,42.797653,"9.331383, 42.797653",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-021,Awbare FDP 21,Partner Performance Monitoring,1,9.331383,42.797653,"9.331383, 42.797653",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-022,Awbare FDP 22,Beneficiary Contact Monitoring,6,9.316873,42.86496,"9.316873, 42.86496",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-022,Awbare FDP 22,Food Basket Monitoring,6,9.316873,42.86496,"9.316873, 42.86496",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-022,Awbare FDP 22,Warehouse Monitoring,1,9.316873,42.86496,"9.316873, 42.86496",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-022,Awbare FDP 22,Distribution Observation,1,9.316873,42.86496,"9.316873, 42.86496",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-022,Awbare FDP 22,Partner Performance Monitoring,1,9.316873,42.86496,"9.316873, 42.86496",0,1,0.0,Not Visited / Not Submitted,Not Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-023,Awbare FDP 23,Beneficiary Contact Monitoring,6,9.385587,42.812627,"9.385587, 42.812627",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-023,Awbare FDP 23,Food Basket Monitoring,6,9.385587,42.812627,"9.385587, 42.812627",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-023,Awbare FDP 23,Warehouse Monitoring,1,9.385587,42.812627,"9.385587, 42.812627",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-023,Awbare FDP 23,Distribution Observation,1,9.385587,42.812627,"9.385587, 42.812627",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-023,Awbare FDP 23,Partner Performance Monitoring,1,9.385587,42.812627,"9.385587, 42.812627",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-024,Awbare FDP 24,Beneficiary Contact Monitoring,6,9.374091,42.854678,"9.374091, 42.854678",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-024,Awbare FDP 24,Food Basket Monitoring,6,9.374091,42.854678,"9.374091, 42.854678",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-024,Awbare FDP 24,Warehouse Monitoring,1,9.374091,42.854678,"9.374091, 42.854678",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-024,Awbare FDP 24,Distribution Observation,1,9.374091,42.854678,"9.374091, 42.854678",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-024,Awbare FDP 24,Partner Performance Monitoring,1,9.374091,42.854678,"9.374091, 42.854678",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-025,Awbare FDP 25,Beneficiary Contact Monitoring,6,9.416248,42.854349,"9.416248, 42.854349",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-025,Awbare FDP 25,Food Basket Monitoring,6,9.416248,42.854349,"9.416248, 42.854349",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-025,Awbare FDP 25,Warehouse Monitoring,1,9.416248,42.854349,"9.416248, 42.854349",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-025,Awbare FDP 25,Distribution Observation,1,9.416248,42.854349,"9.416248, 42.854349",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-025,Awbare FDP 25,Partner Performance Monitoring,1,9.416248,42.854349,"9.416248, 42.854349",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-026,Awbare FDP 26,Beneficiary Contact Monitoring,6,9.377139,42.63126,"9.377139, 42.63126",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-026,Awbare FDP 26,Food Basket Monitoring,6,9.377139,42.63126,"9.377139, 42.63126",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-026,Awbare FDP 26,Warehouse Monitoring,1,9.377139,42.63126,"9.377139, 42.63126",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-026,Awbare FDP 26,Distribution Observation,1,9.377139,42.63126,"9.377139, 42.63126",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-026,Awbare FDP 26,Partner Performance Monitoring,1,9.377139,42.63126,"9.377139, 42.63126",0,1,0.0,Not Visited / Not Submitted,Not Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-027,Awbare FDP 27,Beneficiary Contact Monitoring,6,9.319465,42.780083,"9.319465, 42.780083",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-027,Awbare FDP 27,Food Basket Monitoring,6,9.319465,42.780083,"9.319465, 42.780083",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-027,Awbare FDP 27,Warehouse Monitoring,1,9.319465,42.780083,"9.319465, 42.780083",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-027,Awbare FDP 27,Distribution Observation,1,9.319465,42.780083,"9.319465, 42.780083",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-027,Awbare FDP 27,Partner Performance Monitoring,1,9.319465,42.780083,"9.319465, 42.780083",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-028,Awbare FDP 28,Beneficiary Contact Monitoring,6,9.39714,42.861463,"9.39714, 42.861463",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,WFP,Awbare,REL-AWBA-028,Awbare FDP 28,Food Basket Monitoring,6,9.39714,42.861463,"9.39714, 42.861463",3,3,0.5,Moderate Gap,Visited
