FDP_ID,Activity,Modality,Sub-office,Zone,Woreda,FDP/Site Name,Partner,Active Status,Priority Level,Latitude,Longitude,GPS
REL-AWBA-013,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 13,CAAP,Active,Medium,9.336616,42.772848,"9.336616, 42.772848"
REL-AWBA-014,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 14,CAAP,Active,Medium,9.344004,42.86559,"9.344004, 42.86559"
REL-AWBA-015,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 15,CAAP,Active,Medium,9.357083,42.666318,"9.357083, 42.666318"
REL-AWBA-016,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 16,CAAP,Active,Medium,9.301298,42.719248,"9.301298, 42.719248"
REL-AWBA-017,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 17,CAAP,Active,Medium,9.401308,42.893291,"9.401308, 42.893291"
REL-AWBA-018,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 18,CAAP,Active,Medium,9.298578,42.691286,"9.298578, 42.691286"
REL-AWBA-019,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 19,CAAP,Active,Medium,9.378989,42.694689,"9.378989, 42.694689"
REL-AWBA-020,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 20,CAAP,Active,Medium,9.368129,42.717491,"9.368129, 42.717491"
REL-AWBA-021,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 21,CAAP,Active,Medium,9.331383,42.797653,"9.331383, 42.797653"
REL-AWBA-022,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 22,CAAP,Active,Medium,9.316873,42.86496,"9.316873, 42.86496"
REL-AWBA-023,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 23,CAAP,Active,Medium,9.385587,42.812627,"9.385587, 42.812627"
REL-AWBA-024,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 24,CAAP,Active,Medium,9.374091,42.854678,"9.374091, 42.854678"
REL-AWBA-025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 25,CAAP,Active,High,9.416248,42.854349,"9.416248, 42.854349"
REL-AWBA-026,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 26,CAAP,Active,Medium,9.377139,42.63126,"9.377139, 42.63126"
REL-AWBA-027,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 27,CAAP,Active,High,9.319465,42.780083,"9.319465, 42.780083"
REL-AWBA-028,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 28,CAAP,Active,High,9.39714,42.861463,"9.39714, 42.861463"
REL-AWBA-029,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 29,CAAP,Active,Medium,9.337919,42.862687,"9.337919, 42.862687"
REL-AWBA-030,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 30,CAAP,Active,Medium,9.268469,42.732911,"9.268469, 42.732911"
REL-AWBA-031,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 31,CAAP,Active,Medium,9.304422,42.786273,"9.304422, 42.786273"
REL-AWBA-032,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 32,CAAP,Active,Medium,9.379025,42.788571,"9.379025, 42.788571"
REL-AWBA-033,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 33,CAAP,Active,Medium,9.421579,42.725286,"9.421579, 42.725286"
REL-AWBA-034,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 34,CAAP,Active,Medium,9.465207,42.799769,"9.465207, 42.799769"
REL-AWBA-035,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 35,CAAP,Active,High,9.388005,42.698285,"9.388005, 42.698285"
REL-AWBA-036,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 36,CAAP,Active,Medium,9.355433,42.767442,"9.355433, 42.767442"
REL-AWBA-037,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 37,CAAP,Active,Medium,9.302987,42.751777,"9.302987, 42.751777"
REL-AWBA-038,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 38,CAAP,Active,Medium,9.297078,42.753465,"9.297078, 42.753465"
REL-AWBA-039,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 39,CAAP,Active,Medium,9.336829,42.805286,"9.336829, 42.805286"
REL-AWBA-040,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 40,CAAP,Active,High,9.385554,42.806807,"9.385554, 42.806807"
REL-AWBA-041,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 41,CAAP,Active,Medium,9.352101,42.834422,"9.352101, 42.834422"
REL-AWBA-042,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 42,CAAP,Active,Medium,9.357899,42.821266,"9.357899, 42.821266"
REL-BABI-001,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 01,CAAP,Active,High,9.197474,42.399607,"9.197474, 42.399607"
REL-BABI-002,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 02,CAAP,Active,Medium,9.197751,42.383191,"9.197751, 42.383191"
REL-BABI-003,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 03,CAAP,Active,Medium,9.16836,42.215419,"9.16836, 42.215419"
REL-BABI-004,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 04,CAAP,Active,Medium,9.280249,42.301655,"9.280249, 42.301655"
REL-BABI-005,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 05,CAAP,Active,Medium,9.140698,42.242083,"9.140698, 42.242083"
REL-BABI-006,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 06,CAAP,Active,Medium,9.130377,42.220161,"9.130377, 42.220161"
REL-BABI-007,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 07,CAAP,Active,Medium,9.161911,42.350485,"9.161911, 42.350485"
REL-BABI-008,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 08,CAAP,Active,Medium,9.167749,42.36719,"9.167749, 42.36719"
REL-BABI-009,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 09,CAAP,Active,Medium,9.190736,42.381917,"9.190736, 42.381917"
REL-BABI-010,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 10,CAAP,Active,Medium,9.232026,42.298391,"9.232026, 42.298391"
REL-BABI-011,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 11,CAAP,Active,Medium,9.207422,42.233306,"9.207422, 42.233306"
REL-BABI-012,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 12,CAAP,Active,Medium,9.229121,42.363384,"9.229121, 42.363384"
REL-BABI-013,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 13,CAAP,Active,Medium,9.112096,42.218138,"9.112096, 42.218138"
REL-BABI-014,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 14,CAAP,Active,Medium,9.280054,42.371402,"9.280054, 42.371402"
REL-AYIS-001,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 01,CAAP,Active,Medium,10.700852,42.69937,"10.700852, 42.69937"
REL-AYIS-002,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 02,CAAP,Active,Medium,10.781377,42.546579,"10.781377, 42.546579"
REL-AYIS-003,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 03,CAAP,Active,Medium,10.777215,42.665711,"10.777215, 42.665711"
REL-AYIS-004,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 04,CAAP,Active,Medium,10.719922,42.647322,"10.719922, 42.647322"
REL-AYIS-005,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 05,CAAP,Active,Medium,10.755926,42.594138,"10.755926, 42.594138"
REL-AYIS-006,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 06,CAAP,Active,Medium,10.82833,42.611549,"10.82833, 42.611549"
REL-AYIS-007,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 07,CAAP,Active,Medium,10.641761,42.613859,"10.641761, 42.613859"
REL-AYIS-008,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 08,CAAP,Active,Medium,10.82457,42.56326,"10.82457, 42.56326"
REL-AYIS-009,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 09,CAAP,Active,Medium,10.73418,42.730545,"10.73418, 42.730545"
REL-AYIS-010,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 10,CAAP,Active,High,10.740618,42.560081,"10.740618, 42.560081"
REL-AYIS-011,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 11,CAAP,Active,Medium,10.656702,42.589213,"10.656702, 42.589213"
REL-AYIS-012,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 12,CAAP,Active,Medium,10.786289,42.633835,"10.786289, 42.633835"
REL-AYIS-013,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 13,CAAP,Active,Medium,10.785385,42.720221,"10.785385, 42.720221"
REL-AYIS-014,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 14,CAAP,Active,Medium,10.758597,42.625998,"10.758597, 42.625998"
REL-AYIS-015,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 15,CAAP,Active,Medium,10.759167,42.644701,"10.759167, 42.644701"
REL-AYIS-016,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 16,CAAP,Active,Medium,10.678689,42.569224,"10.678689, 42.569224"
REL-AYIS-017,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 17,CAAP,Active,High,10.741175,42.652693,"10.741175, 42.652693"
REL-AYIS-018,Activity 1 Relief,Food,Jijiga,Siti,Ayisha,Ayisha FDP 18,CAAP,Active,Medium,10.840493,42.560242,"10.840493, 42.560242"
REL-KELA-001,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 01,OWDA,Active,High,5.678214,44.191094,"5.678214, 44.191094"
REL-KELA-002,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 02,OWDA,Active,Medium,5.653545,44.145752,"5.653545, 44.145752"
REL-KELA-003,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 03,OWDA,Active,Medium,5.51323,44.168779,"5.51323, 44.168779"
REL-KELA-004,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 04,OWDA,Active,High,5.722457,44.133762,"5.722457, 44.133762"
REL-KELA-005,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 05,OWDA,Active,Medium,5.646307,44.110665,"5.646307, 44.110665"
REL-KELA-006,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 06,OWDA,Active,High,5.688051,44.196221,"5.688051, 44.196221"
REL-KELA-007,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 07,OWDA,Active,Medium,5.659827,44.140091,"5.659827, 44.140091"
REL-KELA-008,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 08,OWDA,Active,High,5.628392,44.217647,"5.628392, 44.217647"
REL-KELA-009,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 09,OWDA,Active,Medium,5.634964,44.154129,"5.634964, 44.154129"
REL-KELA-010,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 10,OWDA,Active,Medium,5.624775,44.011656,"5.624775, 44.011656"
REL-KELA-011,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 11,OWDA,Active,High,5.721752,44.140331,"5.721752, 44.140331"
REL-KELA-012,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 12,OWDA,Active,High,5.66969,44.065016,"5.66969, 44.065016"
REL-KELA-013,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 13,OWDA,Active,Medium,5.699281,44.164786,"5.699281, 44.164786"
REL-KELA-014,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 14,OWDA,Active,Medium,5.643598,44.174001,"5.643598, 44.174001"
REL-KELA-015,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 15,OWDA,Active,High,5.595896,44.228127,"5.595896, 44.228127"
REL-KELA-016,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 16,OWDA,Active,High,5.727549,44.128463,"5.727549, 44.128463"
REL-KELA-017,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 17,OWDA,Active,Medium,5.62664,44.172771,"5.62664, 44.172771"
REL-KELA-018,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 18,OWDA,Active,Medium,5.695158,44.075023,"5.695158, 44.075023"
REL-KELA-019,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 19,OWDA,Active,Medium,5.620861,44.199756,"5.620861, 44.199756"
REL-KELA-020,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,Kelafo FDP 20,OWDA,Active,Medium,5.57562,44.111153,"5.57562, 44.111153"
REL-DOLL-001,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 01,RRS/CP,Active,Medium,4.227909,42.064859,"4.227909, 42.064859"
REL-DOLL-002,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 02,RRS/CP,Active,Medium,4.090858,42.05288,"4.090858, 42.05288"
REL-DOLL-003,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 03,RRS/CP,Active,Medium,4.214312,42.06931,"4.214312, 42.06931"
REL-DOLL-004,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 04,RRS/CP,Active,Medium,4.155655,42.021079,"4.155655, 42.021079"
REL-DOLL-005,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 05,RRS/CP,Active,Medium,4.081126,42.023142,"4.081126, 42.023142"
REL-DOLL-006,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 06,RRS/CP,Active,Medium,4.167735,42.055132,"4.167735, 42.055132"
REL-DOLL-007,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 07,RRS/CP,Active,Medium,4.087281,42.142268,"4.087281, 42.142268"
REL-DOLL-008,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 08,RRS/CP,Active,Medium,4.168343,42.104926,"4.168343, 42.104926"
REL-DOLL-009,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 09,RRS/CP,Active,Medium,4.197634,42.133908,"4.197634, 42.133908"
REL-DOLL-010,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 10,RRS/CP,Active,Medium,4.153184,42.164176,"4.153184, 42.164176"
REL-DOLL-011,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 11,RRS/CP,Active,Medium,4.234319,42.05483,"4.234319, 42.05483"
REL-DOLL-012,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 12,RRS/CP,Active,High,4.031852,42.04705,"4.031852, 42.04705"
REL-DOLL-013,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 13,RRS/CP,Active,Medium,4.199786,42.062019,"4.199786, 42.062019"
REL-DOLL-014,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 14,RRS/CP,Active,Medium,4.113813,42.095975,"4.113813, 42.095975"
REL-DOLL-015,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 15,RRS/CP,Active,Medium,4.131053,42.147778,"4.131053, 42.147778"
REL-DOLL-016,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,Dollo Ado FDP 16,RRS/CP,Active,Medium,4.143021,42.134964,"4.143021, 42.134964"
NUT-FIK-001,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 01,IMC,Active,Medium,8.127419,42.219694,"8.127419, 42.219694"
NUT-FIK-002,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 02,IMC,Active,Medium,8.102049,42.272763,"8.102049, 42.272763"
NUT-FIK-003,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 03,IMC,Active,Medium,8.171898,42.209424,"8.171898, 42.209424"
NUT-FIK-004,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 04,IMC,Active,Medium,8.176966,42.299562,"8.176966, 42.299562"
NUT-FIK-005,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 05,IMC,Active,Medium,8.081079,42.319443,"8.081079, 42.319443"
NUT-FIK-006,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 06,IMC,Active,High,8.100331,42.332512,"8.100331, 42.332512"
NUT-FIK-007,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 07,IMC,Active,Medium,8.123494,42.280174,"8.123494, 42.280174"
NUT-FIK-008,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 08,IMC,Active,Medium,8.071225,42.348989,"8.071225, 42.348989"
NUT-FIK-009,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 09,IMC,Active,Medium,8.142939,42.294909,"8.142939, 42.294909"
NUT-FIK-010,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 10,IMC,Active,Medium,8.101892,42.33266,"8.101892, 42.33266"
NUT-FIK-011,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 11,IMC,Active,Medium,8.087426,42.241099,"8.087426, 42.241099"
NUT-FIK-012,Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 12,IMC,Active,Medium,8.095518,42.240745,"8.095518, 42.240745"
NUT-DUHU-001,Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 01,IMC,Active,Medium,7.920234,42.569055,"7.920234, 42.569055"
NUT-DUHU-002,Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 02,IMC,Active,High,7.843273,42.562054,"7.843273, 42.562054"
NUT-DUHU-003,Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 03,IMC,Active,Medium,7.857891,42.628916,"7.857891, 42.628916"
NUT-DUHU-004,Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 04,IMC,Active,Medium,7.908045,42.611341,"7.908045, 42.611341"
NUT-DUHU-005,Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 05,IMC,Active,Medium,7.949055,42.539307,"7.949055, 42.539307"
NUT-DUHU-006,Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 06,IMC,Active,Medium,7.80368,42.48685,"7.80368, 42.48685"
NUT-DUHU-007,Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 07,IMC,Active,Medium,7.804265,42.512999,"7.804265, 42.512999"
NUT-DUHU-008,Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 08,IMC,Active,Medium,7.886856,42.486812,"7.886856, 42.486812"
NUT-DUHU-009,Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 09,IMC,Active,Medium,7.835265,42.497664,"7.835265, 42.497664"
NUT-DUHU-010,Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 10,IMC,Active,Medium,7.763646,42.604229,"7.763646, 42.604229"
NUT-HARO-001,Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 01,IMC,Active,Medium,9.230819,42.961924,"9.230819, 42.961924"
NUT-HARO-002,Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 02,IMC,Active,Medium,9.163677,43.115415,"9.163677, 43.115415"
NUT-HARO-003,Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 03,IMC,Active,Medium,9.161668,43.10106,"9.161668, 43.10106"
NUT-HARO-004,Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 04,IMC,Active,Medium,9.140277,43.166694,"9.140277, 43.166694"
NUT-HARO-005,Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 05,IMC,Active,High,9.141961,43.071755,"9.141961, 43.071755"
NUT-HARO-006,Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 06,IMC,Active,Medium,9.159545,42.992832,"9.159545, 42.992832"
NUT-HARO-007,Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 07,IMC,Active,High,9.207051,43.105204,"9.207051, 43.105204"
NUT-HARO-008,Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 08,IMC,Active,Medium,9.165393,42.992767,"9.165393, 42.992767"
NUT-RHAM-001,Activity 2 Nutrition,TSFP,Gode,Shabelle,Rhamu,Rhamu FDP 01,IMC,Active,Medium,6.290963,44.601673,"6.290963, 44.601673"
NUT-RHAM-002,Activity 2 Nutrition,TSFP,Gode,Shabelle,Rhamu,Rhamu FDP 02,IMC,Active,Medium,6.287258,44.566381,"6.287258, 44.566381"
NUT-RHAM-003,Activity 2 Nutrition,TSFP,Gode,Shabelle,Rhamu,Rhamu FDP 03,IMC,Active,Medium,6.278735,44.58126,"6.278735, 44.58126"
NUT-RHAM-004,Activity 2 Nutrition,TSFP,Gode,Shabelle,Rhamu,Rhamu FDP 04,IMC,Active,Medium,6.26081,44.597794,"6.26081, 44.597794"
NUT-RHAM-005,Activity 2 Nutrition,TSFP,Gode,Shabelle,Rhamu,Rhamu FDP 05,IMC,Active,Medium,6.247272,44.561648,"6.247272, 44.561648"
NUT-RHAM-006,Activity 2 Nutrition,TSFP,Gode,Shabelle,Rhamu,Rhamu FDP 06,IMC,Active,Medium,6.236031,44.621788,"6.236031, 44.621788"
NUT-RHAM-007,Activity 2 Nutrition,TSFP,Gode,Shabelle,Rhamu,Rhamu FDP 07,IMC,Active,High,6.350037,44.659559,"6.350037, 44.659559"
NUT-RHAM-008,Activity 2 Nutrition,TSFP,Gode,Shabelle,Rhamu,Rhamu FDP 08,IMC,Active,Medium,6.279273,44.572934,"6.279273, 44.572934"
REF-AWBA-001,Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Aw-Bare Camp,Aw-Bare Camp Site 01,RRS/UNHCR,Active,Medium,9.693736,43.013279,"9.693736, 43.013279"
REF-AWBA-002,Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Aw-Bare Camp,Aw-Bare Camp Site 02,RRS/UNHCR,Active,Medium,9.731421,43.01179,"9.731421, 43.01179"
REF-AWBA-003,Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Aw-Bare Camp,Aw-Bare Camp Site 03,RRS/UNHCR,Active,Medium,9.776148,43.128456,"9.776148, 43.128456"
REF-AWBA-004,Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Aw-Bare Camp,Aw-Bare Camp Site 04,RRS/UNHCR,Active,Medium,9.782744,43.027137,"9.782744, 43.027137"
REF-AWBA-005,Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Aw-Bare Camp,Aw-Bare Camp Site 05,RRS/UNHCR,Active,Medium,9.832203,43.042882,"9.832203, 43.042882"
REF-KEBR-001,Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Kebribeyah Camp,Kebribeyah Camp Site 01,RRS/UNHCR,Active,Medium,9.1237,43.271124,"9.1237, 43.271124"
REF-KEBR-002,Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Kebribeyah Camp,Kebribeyah Camp Site 02,RRS/UNHCR,Active,Medium,9.180123,43.13241,"9.180123, 43.13241"
REF-KEBR-003,Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Kebribeyah Camp,Kebribeyah Camp Site 03,RRS/UNHCR,Active,High,9.015153,43.245224,"9.015153, 43.245224"
REF-KEBR-004,Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Kebribeyah Camp,Kebribeyah Camp Site 04,RRS/UNHCR,Active,Medium,9.050593,43.230436,"9.050593, 43.230436"
REF-KEBR-005,Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Kebribeyah Camp,Kebribeyah Camp Site 05,RRS/UNHCR,Active,Medium,9.183863,43.256373,"9.183863, 43.256373"
REF-SHED-001,Activity 3 Refugee Operations,School Feeding,Jijiga,Fafan,Sheder Camp,Sheder Camp Site 01,RRS/UNHCR,Active,Medium,9.56026,43.111869,"9.56026, 43.111869"
