Month,Activity,FDP_ID,Woreda,FDP/Site Name,Assistance Planned,Monthly Priority Level,Priority Reason,Distribution Window,Remarks
May 2025,Activity 1 Relief,REL-AWBA-020,Awbare,Awbare FDP 20,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-021,Awbare,Awbare FDP 21,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-022,Awbare,Awbare FDP 22,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-023,Awbare,Awbare FDP 23,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-024,Awbare,Awbare FDP 24,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-025,Awbare,Awbare FDP 25,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-026,Awbare,Awbare FDP 26,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-027,Awbare,Awbare FDP 27,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-028,Awbare,Awbare FDP 28,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-029,Awbare,Awbare FDP 29,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-030,Awbare,Awbare FDP 30,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-031,Awbare,Awbare FDP 31,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-032,Awbare,Awbare FDP 32,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-033,Awbare,Awbare FDP 33,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-034,Awbare,Awbare FDP 34,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-035,Awbare,Awbare FDP 35,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-036,Awbare,Awbare FDP 36,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-037,Awbare,Awbare FDP 37,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-038,Awbare,Awbare FDP 38,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-039,Awbare,Awbare FDP 39,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-040,Awbare,Awbare FDP 40,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-041,Awbare,Awbare FDP 41,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-042,Awbare,Awbare FDP 42,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-001,Babile,Babile FDP 01,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-002,Babile,Babile FDP 02,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-003,Babile,Babile FDP 03,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-004,Babile,Babile FDP 04,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-005,Babile,Babile FDP 05,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-006,Babile,Babile FDP 06,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-007,Babile,Babile FDP 07,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-008,Babile,Babile FDP 08,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-009,Babile,Babile FDP 09,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-010,Babile,Babile FDP 10,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-011,Babile,Babile FDP 11,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-012,Babile,Babile FDP 12,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-013,Babile,Babile FDP 13,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-BABI-014,Babile,Babile FDP 14,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AYIS-001,Ayisha,Ayisha FDP 01,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-002,Ayisha,Ayisha FDP 02,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-003,Ayisha,Ayisha FDP 03,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-004,Ayisha,Ayisha FDP 04,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-005,Ayisha,Ayisha FDP 05,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-006,Ayisha,Ayisha FDP 06,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-007,Ayisha,Ayisha FDP 07,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-008,Ayisha,Ayisha FDP 08,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-009,Ayisha,Ayisha FDP 09,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-010,Ayisha,Ayisha FDP 10,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-011,Ayisha,Ayisha FDP 11,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-012,Ayisha,Ayisha FDP 12,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-013,Ayisha,Ayisha FDP 13,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-014,Ayisha,Ayisha FDP 14,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-015,Ayisha,Ayisha FDP 15,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-016,Ayisha,Ayisha FDP 16,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-017,Ayisha,Ayisha FDP 17,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-AYIS-018,Ayisha,Ayisha FDP 18,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-KELA-001,Kelafo,Kelafo FDP 01,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-002,Kelafo,Kelafo FDP 02,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-003,Kelafo,Kelafo FDP 03,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-004,Kelafo,Kelafo FDP 04,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-005,Kelafo,Kelafo FDP 05,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-006,Kelafo,Kelafo FDP 06,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-007,Kelafo,Kelafo FDP 07,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-008,Kelafo,Kelafo FDP 08,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-009,Kelafo,Kelafo FDP 09,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-010,Kelafo,Kelafo FDP 10,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-011,Kelafo,Kelafo FDP 11,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-012,Kelafo,Kelafo FDP 12,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-013,Kelafo,Kelafo FDP 13,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-014,Kelafo,Kelafo FDP 14,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-015,Kelafo,Kelafo FDP 15,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-016,Kelafo,Kelafo FDP 16,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-017,Kelafo,Kelafo FDP 17,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-018,Kelafo,Kelafo FDP 18,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-019,Kelafo,Kelafo FDP 19,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-KELA-020,Kelafo,Kelafo FDP 20,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-001,Dollo Ado,Dollo Ado FDP 01,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-002,Dollo Ado,Dollo Ado FDP 02,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-003,Dollo Ado,Dollo Ado FDP 03,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-004,Dollo Ado,Dollo Ado FDP 04,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-DOLL-005,Dollo Ado,Dollo Ado FDP 05,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-006,Dollo Ado,Dollo Ado FDP 06,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-007,Dollo Ado,Dollo Ado FDP 07,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-008,Dollo Ado,Dollo Ado FDP 08,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-009,Dollo Ado,Dollo Ado FDP 09,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-DOLL-010,Dollo Ado,Dollo Ado FDP 10,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-011,Dollo Ado,Dollo Ado FDP 11,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-DOLL-012,Dollo Ado,Dollo Ado FDP 12,Yes,High,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-013,Dollo Ado,Dollo Ado FDP 13,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-014,Dollo Ado,Dollo Ado FDP 14,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 1 Relief,REL-DOLL-015,Dollo Ado,Dollo Ado FDP 15,No,Low,Not prioritized this month,,
May 2025,Activity 1 Relief,REL-DOLL-016,Dollo Ado,Dollo Ado FDP 16,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-001,Fik,Fik FDP 01,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-002,Fik,Fik FDP 02,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-003,Fik,Fik FDP 03,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-004,Fik,Fik FDP 04,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-005,Fik,Fik FDP 05,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-006,Fik,Fik FDP 06,Yes,High,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-007,Fik,Fik FDP 07,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-008,Fik,Fik FDP 08,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-009,Fik,Fik FDP 09,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-010,Fik,Fik FDP 10,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-011,Fik,Fik FDP 11,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-FIK-012,Fik,Fik FDP 12,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-DUHU-001,Duhun,Duhun FDP 01,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-DUHU-002,Duhun,Duhun FDP 02,Yes,High,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-DUHU-003,Duhun,Duhun FDP 03,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-DUHU-004,Duhun,Duhun FDP 04,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-DUHU-005,Duhun,Duhun FDP 05,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-DUHU-006,Duhun,Duhun FDP 06,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-DUHU-007,Duhun,Duhun FDP 07,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-DUHU-008,Duhun,Duhun FDP 08,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-DUHU-009,Duhun,Duhun FDP 09,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-DUHU-010,Duhun,Duhun FDP 10,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-HARO-001,Harorays,Harorays FDP 01,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-HARO-002,Harorays,Harorays FDP 02,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-HARO-003,Harorays,Harorays FDP 03,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-HARO-004,Harorays,Harorays FDP 04,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-HARO-005,Harorays,Harorays FDP 05,Yes,High,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-HARO-006,Harorays,Harorays FDP 06,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-HARO-007,Harorays,Harorays FDP 07,Yes,High,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-HARO-008,Harorays,Harorays FDP 08,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-RHAM-001,Rhamu,Rhamu FDP 01,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-RHAM-002,Rhamu,Rhamu FDP 02,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-RHAM-003,Rhamu,Rhamu FDP 03,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-RHAM-004,Rhamu,Rhamu FDP 04,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-RHAM-005,Rhamu,Rhamu FDP 05,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-RHAM-006,Rhamu,Rhamu FDP 06,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-RHAM-007,Rhamu,Rhamu FDP 07,Yes,High,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 2 Nutrition,NUT-RHAM-008,Rhamu,Rhamu FDP 08,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-AWBA-001,Aw-Bare Camp,Aw-Bare Camp Site 01,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-AWBA-002,Aw-Bare Camp,Aw-Bare Camp Site 02,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-AWBA-003,Aw-Bare Camp,Aw-Bare Camp Site 03,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-AWBA-004,Aw-Bare Camp,Aw-Bare Camp Site 04,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-AWBA-005,Aw-Bare Camp,Aw-Bare Camp Site 05,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-KEBR-001,Kebribeyah Camp,Kebribeyah Camp Site 01,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-KEBR-002,Kebribeyah Camp,Kebribeyah Camp Site 02,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-KEBR-003,Kebribeyah Camp,Kebribeyah Camp Site 03,Yes,High,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-KEBR-004,Kebribeyah Camp,Kebribeyah Camp Site 04,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-KEBR-005,Kebribeyah Camp,Kebribeyah Camp Site 05,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-SHED-001,Sheder Camp,Sheder Camp Site 01,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-SHED-002,Sheder Camp,Sheder Camp Site 02,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-SHED-003,Sheder Camp,Sheder Camp Site 03,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-SHED-004,Sheder Camp,Sheder Camp Site 04,Yes,Medium,Routine programme monitoring,10–25 May 2025,
May 2025,Activity 3 Refugee Operations,REF-SHED-005,Sheder Camp,Sheder Camp Site 05,Yes,Medium,Routine programme monitoring,10–25 May 2025,
