Month,Activity,Modality,Sub-office,Zone,Woreda,FDP_ID,FDP/Site Name,Partner,Assistance Planned,Monthly Priority Level,Priority Reason,Distribution Window,TPM Assigned to Woreda,TPM Field Monitor,TPM Available This Month,Reassignment Possible,Reassignment Needed,Reassignment Status,Planned Entity,Allocation Reason,Assignment Type,70/30 Exception Reason,Manual Override Entity,Override Reason,Final Entity,Latitude,Longitude,GPS
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-011,Awbare FDP 11,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.340724,42.604566,"9.340724, 42.604566"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-012,Awbare FDP 12,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.411607,42.853303,"9.411607, 42.853303"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-013,Awbare FDP 13,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.336616,42.772848,"9.336616, 42.772848"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-014,Awbare FDP 14,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.344004,42.86559,"9.344004, 42.86559"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-015,Awbare FDP 15,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.357083,42.666318,"9.357083, 42.666318"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-016,Awbare FDP 16,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.301298,42.719248,"9.301298, 42.719248"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-017,Awbare FDP 17,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.401308,42.893291,"9.401308, 42.893291"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-018,Awbare FDP 18,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.298578,42.691286,"9.298578, 42.691286"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-019,Awbare FDP 19,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.378989,42.694689,"9.378989, 42.694689"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-020,Awbare FDP 20,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.368129,42.717491,"9.368129, 42.717491"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-021,Awbare FDP 21,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.331383,42.797653,"9.331383, 42.797653"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-022,Awbare FDP 22,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.316873,42.86496,"9.316873, 42.86496"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-023,Awbare FDP 23,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.385587,42.812627,"9.385587, 42.812627"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-024,Awbare FDP 24,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.374091,42.854678,"9.374091, 42.854678"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-025,Awbare FDP 25,CAAP,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,WFP,High-priority/management assurance site assigned to WFP,Split large woreda,,,,WFP,9.416248,42.854349,"9.416248, 42.854349"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-026,Awbare FDP 26,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.377139,42.63126,"9.377139, 42.63126"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-027,Awbare FDP 27,CAAP,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,WFP,High-priority/management assurance site assigned to WFP,Split large woreda,,,,WFP,9.319465,42.780083,"9.319465, 42.780083"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-028,Awbare FDP 28,CAAP,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,WFP,High-priority/management assurance site assigned to WFP,Split large woreda,,,,WFP,9.39714,42.861463,"9.39714, 42.861463"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-029,Awbare FDP 29,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.337919,42.862687,"9.337919, 42.862687"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-030,Awbare FDP 30,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.268469,42.732911,"9.268469, 42.732911"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-031,Awbare FDP 31,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.304422,42.786273,"9.304422, 42.786273"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-032,Awbare FDP 32,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.379025,42.788571,"9.379025, 42.788571"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-033,Awbare FDP 33,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.421579,42.725286,"9.421579, 42.725286"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-034,Awbare FDP 34,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.465207,42.799769,"9.465207, 42.799769"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-035,Awbare FDP 35,CAAP,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,WFP,High-priority/management assurance site assigned to WFP,Split large woreda,,,,WFP,9.388005,42.698285,"9.388005, 42.698285"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-036,Awbare FDP 36,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.355433,42.767442,"9.355433, 42.767442"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-037,Awbare FDP 37,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.302987,42.751777,"9.302987, 42.751777"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-038,Awbare FDP 38,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.297078,42.753465,"9.297078, 42.753465"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-039,Awbare FDP 39,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.336829,42.805286,"9.336829, 42.805286"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-040,Awbare FDP 40,CAAP,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,WFP,High-priority/management assurance site assigned to WFP,Split large woreda,,,,WFP,9.385554,42.806807,"9.385554, 42.806807"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-041,Awbare FDP 41,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.352101,42.834422,"9.352101, 42.834422"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-042,Awbare FDP 42,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Split large woreda,,,,TPM,9.357899,42.821266,"9.357899, 42.821266"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-001,Babile FDP 01,CAAP,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,WFP,High-priority/management assurance site assigned to WFP,Full woreda,,,,WFP,9.197474,42.399607,"9.197474, 42.399607"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-002,Babile FDP 02,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.197751,42.383191,"9.197751, 42.383191"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-003,Babile FDP 03,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.16836,42.215419,"9.16836, 42.215419"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-004,Babile FDP 04,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.280249,42.301655,"9.280249, 42.301655"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-005,Babile FDP 05,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.140698,42.242083,"9.140698, 42.242083"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-006,Babile FDP 06,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.130377,42.220161,"9.130377, 42.220161"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-007,Babile FDP 07,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.161911,42.350485,"9.161911, 42.350485"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-008,Babile FDP 08,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.167749,42.36719,"9.167749, 42.36719"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-009,Babile FDP 09,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.190736,42.381917,"9.190736, 42.381917"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-010,Babile FDP 10,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.232026,42.298391,"9.232026, 42.298391"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-011,Babile FDP 11,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.207422,42.233306,"9.207422, 42.233306"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-012,Babile FDP 12,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.229121,42.363384,"9.229121, 42.363384"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-013,Babile FDP 13,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.112096,42.218138,"9.112096, 42.218138"
May 2025,Activity 1 Relief,Cash,Jijiga,Fafan,Babile,REL-BABI-014,Babile FDP 14,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Amina Monitor,Yes,No,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,9.280054,42.371402,"9.280054, 42.371402"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-001,Dollo Ado FDP 01,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.227909,42.064859,"4.227909, 42.064859"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-002,Dollo Ado FDP 02,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.090858,42.05288,"4.090858, 42.05288"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-003,Dollo Ado FDP 03,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.214312,42.06931,"4.214312, 42.06931"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-005,Dollo Ado FDP 05,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.081126,42.023142,"4.081126, 42.023142"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-006,Dollo Ado FDP 06,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.167735,42.055132,"4.167735, 42.055132"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-007,Dollo Ado FDP 07,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.087281,42.142268,"4.087281, 42.142268"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-008,Dollo Ado FDP 08,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.168343,42.104926,"4.168343, 42.104926"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-010,Dollo Ado FDP 10,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.153184,42.164176,"4.153184, 42.164176"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-012,Dollo Ado FDP 12,RRS/CP,Yes,High,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,No,,WFP,High-priority/management assurance site assigned to WFP,Full woreda,,,,WFP,4.031852,42.04705,"4.031852, 42.04705"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-013,Dollo Ado FDP 13,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.199786,42.062019,"4.199786, 42.062019"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-014,Dollo Ado FDP 14,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.113813,42.095975,"4.113813, 42.095975"
May 2025,Activity 1 Relief,Food,Dollo Ado,Dollo,Dollo Ado,REL-DOLL-016,Dollo Ado FDP 16,RRS/CP,Yes,Medium,Carry-over or contingency caseload,10–25 May 2025,No,,No,Yes,Yes,Pending JarCo confirmation,WFP,No assigned TPM; WFP assigned pending JarCo reassignment,Full woreda,,,,WFP,4.143021,42.134964,"4.143021, 42.134964"
May 2025,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,REL-KELA-001,Kelafo FDP 01,OWDA,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Hassan Monitor,Yes,Yes,No,,WFP,High-priority/management assurance site assigned to WFP,Full woreda,,,,WFP,5.678214,44.191094,"5.678214, 44.191094"
May 2025,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,REL-KELA-002,Kelafo FDP 02,OWDA,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Hassan Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,5.653545,44.145752,"5.653545, 44.145752"
May 2025,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,REL-KELA-003,Kelafo FDP 03,OWDA,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Hassan Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,5.51323,44.168779,"5.51323, 44.168779"
May 2025,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,REL-KELA-004,Kelafo FDP 04,OWDA,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Hassan Monitor,Yes,Yes,No,,WFP,High-priority/management assurance site assigned to WFP,Full woreda,,,,WFP,5.722457,44.133762,"5.722457, 44.133762"
May 2025,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,REL-KELA-005,Kelafo FDP 05,OWDA,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Hassan Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,5.646307,44.110665,"5.646307, 44.110665"
May 2025,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,REL-KELA-006,Kelafo FDP 06,OWDA,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Hassan Monitor,Yes,Yes,No,,WFP,High-priority/management assurance site assigned to WFP,Full woreda,,,,WFP,5.688051,44.196221,"5.688051, 44.196221"
May 2025,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,REL-KELA-007,Kelafo FDP 07,OWDA,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Hassan Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,5.659827,44.140091,"5.659827, 44.140091"
May 2025,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,REL-KELA-008,Kelafo FDP 08,OWDA,Yes,High,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Hassan Monitor,Yes,Yes,No,,WFP,High-priority/management assurance site assigned to WFP,Full woreda,,,,WFP,5.628392,44.217647,"5.628392, 44.217647"
May 2025,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,REL-KELA-009,Kelafo FDP 09,OWDA,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Hassan Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,5.634964,44.154129,"5.634964, 44.154129"
May 2025,Activity 1 Relief,Food,Gode,Shabelle,Kelafo,REL-KELA-010,Kelafo FDP 10,OWDA,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Hassan Monitor,Yes,Yes,No,,TPM,TPM monitor assigned and available,Full woreda,,,,TPM,5.624775,44.011656,"5.624775, 44.011656"
